symbol,names_raw,provenance,charge,cas,source_count,formula_raw,molar_mass_raw,molar_mass_unit,raw_cells,data_page
Ge+4_H+1(-4)_Galactitol(2)_OH-1,,"{""bbox_points"": [65.52, 216.96000000000004, 532.68, 251.88000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-1,,2,C(12)H(25)Ge(1)O(13),449.953,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""2"", ""C(12)H(25)Ge(1)O(13)"", ""449.953""]",9
Ge+4_H+1(-4)_Glycerol_OH-1,,"{""bbox_points"": [65.52, 270.36, 532.68, 305.16], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-1,,1,C(3)H(5)Ge(1)O(4),177.700,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(3)H(5)Ge(1)O(4)"", ""177.700""]",9
Ge+4_H+1(-4)_Glycerol(2)_OH-1,,"{""bbox_points"": [65.52, 323.64, 532.68, 358.56], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-1,,1,C(6)H(13)Ge(1)O(7),269.795,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(6)H(13)Ge(1)O(7)"", ""269.795""]",9
Ge+4_H+1(-4)_LArabinose(2)_OH-1,,"{""bbox_points"": [65.52, 376.92, 532.68, 411.84], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-1,,1,C(10)H(17)Ge(1)O(11),385.868,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(10)H(17)Ge(1)O(11)"", ""385.868""]",9
Ge+4_H+1(-4)_LRhamnose(2)_OH-1,,"{""bbox_points"": [65.52, 430.32, 532.68, 465.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(11),413.922,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(11)"", ""413.922""]",9
Ge+4_H+1(-4)_LSorbose(2)_OH-1,,"{""bbox_points"": [65.52, 483.6, 532.68, 518.5200000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(13),445.921,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(13)"", ""445.921""]",9
Ge+4_H+1(-6)_Adonitol(3),,"{""bbox_points"": [65.52, 536.88, 532.68, 571.8000000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-2,,1,C(15)H(30)Ge(1)O(15),523.024,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(15)H(30)Ge(1)O(15)"", ""523.024""]",9
Ge+4_H+1(-6)_DGlucose(3),,"{""bbox_points"": [65.52, 590.2800000000001, 532.68, 625.08], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-2,,1,C(18)H(30)Ge(1)O(18),607.055,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(18)H(30)Ge(1)O(18)"", ""607.055""]",9
Ge+4_H+1(-6)_DMannitol(3),,"{""bbox_points"": [65.52, 643.5600000000001, 532.68, 678.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 9, ""source_file"": ""GES.PDF""}",-2,,2,C(18)H(36)Ge(1)O(18),613.103,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""2"", ""C(18)H(36)Ge(1)O(18)"", ""613.103""]",9
Ge+4_H+1(-6)_DSorbitol(3),,"{""bbox_points"": [65.52, 57.0, 532.68, 91.92000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-2,,2,C(18)H(36)Ge(1)O(18),613.103,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""2"", ""C(18)H(36)Ge(1)O(18)"", ""613.103""]",10
Ge+4_H+1(-6)_Galactitol(3),,"{""bbox_points"": [65.52, 110.40000000000005, 532.68, 145.20000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-2,,1,C(18)H(36)Ge(1)O(18),613.103,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(18)H(36)Ge(1)O(18)"", ""613.103""]",10
Ge+4_H+1(2)_Mandelic-1(3),,"{""bbox_points"": [65.52, 163.68000000000006, 532.68, 198.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",3,,1,C(24)H(23)Ge(1)O(9),528.071,source column Mol. mass (unit not stated on table),"[""3"", ""---"", ""1"", ""C(24)H(23)Ge(1)O(9)"", ""528.071""]",10
Ge+4_H+1(2)_OH-1(2)_Citric-3(2),,"{""bbox_points"": [65.52, 216.96000000000004, 532.68, 251.88000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-2,,2,C(12)H(14)Ge(1)O(16),486.864,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""2"", ""C(12)H(14)Ge(1)O(16)"", ""486.864""]",10
Ge+4_H+1(3)_Gallic-4(3),,"{""bbox_points"": [65.52, 270.36, 532.68, 305.16], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-5,,1,C(21)H(9)Ge(1)O(15),573.924,source column Mol. mass (unit not stated on table),"[""-5"", ""---"", ""1"", ""C(21)H(9)Ge(1)O(15)"", ""573.924""]",10
Ge+4_H+1(3)_OH-1(2)_Citric-3,,"{""bbox_points"": [65.52, 323.64, 532.68, 358.56], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",2,,1,C(6)H(10)Ge(1)O(9),298.770,source column Mol. mass (unit not stated on table),"[""2"", ""---"", ""1"", ""C(6)H(10)Ge(1)O(9)"", ""298.770""]",10
Ge+4_H+1(4)_Gallic-4(3),,"{""bbox_points"": [65.52, 376.92, 532.68, 411.84], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-4,,2,C(21)H(10)Ge(1)O(15),574.931,source column Mol. mass (unit not stated on table),"[""-4"", ""---"", ""2"", ""C(21)H(10)Ge(1)O(15)"", ""574.931""]",10
Ge+4_H+1(4)_Tiron-4(2),,"{""bbox_points"": [65.52, 430.32, 532.68, 465.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",0,,1,C(12)H(8)Ge(1)O(16)S(4),609.056,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(12)H(8)Ge(1)O(16)S(4)"", ""609.056""]",10
Ge+4_H+1(5)_Gallic-4(3),,"{""bbox_points"": [65.52, 483.6, 532.68, 518.5200000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-3,,2,C(21)H(11)Ge(1)O(15),575.939,source column Mol. mass (unit not stated on table),"[""-3"", ""---"", ""2"", ""C(21)H(11)Ge(1)O(15)"", ""575.939""]",10
Ge+4_H+1(6)_Gallic-4(3),,"{""bbox_points"": [65.52, 536.88, 532.68, 571.8000000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-2,,2,C(21)H(12)Ge(1)O(15),576.947,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""2"", ""C(21)H(12)Ge(1)O(15)"", ""576.947""]",10
Ge+4_H+1(6)_Tiron-4(3),,"{""bbox_points"": [65.52, 590.2800000000001, 532.68, 625.08], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",-2,,1,C(18)H(12)Ge(1)O(24)S(6),877.269,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(18)H(12)Ge(1)O(24)S(6)"", ""877.269""]",10
Ge+4_Kojic-1(2)_OH-1(2),,"{""bbox_points"": [65.52, 643.5600000000001, 532.68, 678.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 10, ""source_file"": ""GES.PDF""}",0,,1,C(12)H(12)Ge(1)O(10),388.851,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(12)H(12)Ge(1)O(10)"", ""388.851""]",10
Ge+4_Kojic-1(3),,"{""bbox_points"": [65.52, 57.0, 532.68, 91.92000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",1,,1,C(18)H(15)Ge(1)O(12),495.940,source column Mol. mass (unit not stated on table),"[""1"", ""---"", ""1"", ""C(18)H(15)Ge(1)O(12)"", ""495.940""]",11
Ge+4_Lactic-1(2)_OH-1(2),,"{""bbox_points"": [65.52, 110.40000000000005, 532.68, 145.20000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",0,,1,C(6)H(12)Ge(1)O(8),284.787,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(6)H(12)Ge(1)O(8)"", ""284.787""]",11
Ge+4_Lawsone-1(2)_OH-1(2),,"{""bbox_points"": [65.52, 163.68000000000006, 532.68, 198.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",0,,1,C(20)H(12)Ge(1)O(8),452.941,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(20)H(12)Ge(1)O(8)"", ""452.941""]",11
Ge+4_Maltol-1(2)_OH-1(2),,"{""bbox_points"": [65.52, 216.96000000000004, 532.68, 251.88000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",0,,1,C(12)H(12)Ge(1)O(8),356.853,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(12)H(12)Ge(1)O(8)"", ""356.853""]",11
Ge+4_Maltol-1(3),,"{""bbox_points"": [65.52, 270.36, 532.68, 305.16], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",1,,1,C(18)H(15)Ge(1)O(9),447.942,source column Mol. mass (unit not stated on table),"[""1"", ""---"", ""1"", ""C(18)H(15)Ge(1)O(9)"", ""447.942""]",11
Ge+4_Mandelic-1(3),,"{""bbox_points"": [65.52, 323.64, 532.68, 358.56], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",1,,1,C(24)H(21)Ge(1)O(9),526.055,source column Mol. mass (unit not stated on table),"[""1"", ""---"", ""1"", ""C(24)H(21)Ge(1)O(9)"", ""526.055""]",11
Ge+4_OH-1,,"{""bbox_points"": [65.52, 376.92, 532.68, 411.84], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",3,,1,Ge(1)H(1)O(1),89.6373,source column Mol. mass (unit not stated on table),"[""3"", ""---"", ""1"", ""Ge(1)H(1)O(1)"", ""89.6373""]",11
Ge+4_OH-1_EDTA-4,,"{""bbox_points"": [65.52, 430.32, 532.68, 465.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",-1,,3,C(10)H(13)Ge(1)N(2)O(9),377.851,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""3"", ""C(10)H(13)Ge(1)N(2)O(9)"", ""377.851""]",11
Ge+4_OH-1_MeEDTA-4,,"{""bbox_points"": [65.52, 483.6, 532.68, 518.5200000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",-1,,2,C(11)H(15)Ge(1)N(2)O(9),391.878,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""2"", ""C(11)H(15)Ge(1)N(2)O(9)"", ""391.878""]",11
Ge+4_OH-1(2),,"{""bbox_points"": [65.52, 536.88, 532.68, 571.8000000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",2,,7,Ge(1)H(2)O(2),106.645,source column Mol. mass (unit not stated on table),"[""2"", ""---"", ""7"", ""Ge(1)H(2)O(2)"", ""106.645""]",11
Ge+4_OH-1(2)_Comenic-2(2),,"{""bbox_points"": [65.52, 590.2800000000001, 532.68, 625.08], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",-2,,1,C(12)H(6)Ge(1)O(12),414.802,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(12)H(6)Ge(1)O(12)"", ""414.802""]",11
Ge+4_OH-1(2)_Ferron-2(2),,"{""bbox_points"": [65.52, 643.5600000000001, 532.68, 678.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 11, ""source_file"": ""GES.PDF""}",-2,,1,C(18)H(10)Ge(1)I(2)N(2)O(10)S(2),804.835,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(18)H(10)Ge(1)I(2)N(2)O(10)S(2)"", ""804.835""]",11
Ge+4_OH-1(2)_NTA-3,,"{""bbox_points"": [65.52, 57.0, 532.68, 91.92000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",-1,,1,C(6)H(8)Ge(1)N(1)O(8),294.761,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(6)H(8)Ge(1)N(1)O(8)"", ""294.761""]",12
Ge+4_OH-1(2)_Oxalic-2(2),,"{""bbox_points"": [65.52, 110.40000000000005, 532.68, 145.20000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",-2,,1,C(4)H(2)Ge(1)O(10),282.684,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(4)H(2)Ge(1)O(10)"", ""282.684""]",12
Ge+4_OH-1(2)_Oxine-1(2),,"{""bbox_points"": [65.52, 163.68000000000006, 532.68, 198.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",0,,1,C(18)H(14)Ge(1)N(2)O(4),394.950,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(18)H(14)Ge(1)N(2)O(4)"", ""394.950""]",12
Ge+4_OH-1(2)_Sulfox-2(2),,"{""bbox_points"": [65.52, 216.96000000000004, 532.68, 251.88000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",-2,,1,C(18)H(12)Ge(1)N(2)O(10)S(2),553.051,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(18)H(12)Ge(1)N(2)O(10)S(2)"", ""553.051""]",12
Ge+4_OH-1(2)_Tropolone-1(2),,"{""bbox_points"": [65.52, 270.36, 532.68, 305.16], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",0,,1,C(14)H(12)Ge(1)O(6),348.876,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(14)H(12)Ge(1)O(6)"", ""348.876""]",12
Ge+4_OH-1(3),,"{""bbox_points"": [65.52, 323.64, 532.68, 358.56], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",1,,1,Ge(1)H(3)O(3),123.652,source column Mol. mass (unit not stated on table),"[""1"", ""---"", ""1"", ""Ge(1)H(3)O(3)"", ""123.652""]",12
Ge+4_OH-1(3)_Citric-3,,"{""bbox_points"": [65.52, 376.92, 532.68, 411.84], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",-2,,2,C(6)H(8)Ge(1)O(10),312.754,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""2"", ""C(6)H(8)Ge(1)O(10)"", ""312.754""]",12
Ge+4_OH-1(4),,"{""bbox_points"": [65.52, 430.32, 532.68, 465.12], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",0,,86,Ge(1)H(4)O(4),140.659,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""86"", ""Ge(1)H(4)O(4)"", ""140.659""]",12
Ge+4_Oxalic-2(2),,"{""bbox_points"": [65.52, 483.6, 532.68, 518.5200000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",0,,1,C(4)Ge(1)O(8),248.669,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""C(4)Ge(1)O(8)"", ""248.669""]",12
Ge+4_Oxalic-2(3),,"{""bbox_points"": [65.52, 536.88, 532.68, 571.8000000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",-2,,1,C(6)Ge(1)O(12),336.689,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(6)Ge(1)O(12)"", ""336.689""]",12
Ge+4_S-2(2)_(s),Germanium(IV) sulfide; Germanium disulfide,"{""bbox_points"": [65.52, 590.2800000000001, 532.68, 635.2800000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",0,,2,Ge(1)S(2),136.750,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""2"", ""Ge(1)S(2)"", ""136.750""]",12
Ge+4_Se-2(2)_(s),Germanium(IV) selenide; Germanium diselenide,"{""bbox_points"": [65.52, 653.76, 532.68, 698.76], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 12, ""source_file"": ""GES.PDF""}",0,,1,Ge(1)Se(2),230.556,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""Ge(1)Se(2)"", ""230.556""]",12
Ge+4_Tiron-4(3),,"{""bbox_points"": [65.52, 57.0, 532.68, 91.92000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",-8,,1,C(18)H(6)Ge(1)O(24)S(6),871.221,source column Mol. mass (unit not stated on table),"[""-8"", ""---"", ""1"", ""C(18)H(6)Ge(1)O(24)S(6)"", ""871.221""]",13
Ge+4_TriEtOlAm_OH-1,,"{""bbox_points"": [65.52, 110.40000000000005, 532.68, 145.20000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",3,,1,C(6)H(16)Ge(1)N(1)O(4),238.827,source column Mol. mass (unit not stated on table),"[""3"", ""---"", ""1"", ""C(6)H(16)Ge(1)N(1)O(4)"", ""238.827""]",13
Ge+4_Tropolone-1(3),,"{""bbox_points"": [65.52, 163.68000000000006, 532.68, 198.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",1,,1,C(21)H(15)Ge(1)O(6),435.977,source column Mol. mass (unit not stated on table),"[""1"", ""---"", ""1"", ""C(21)H(15)Ge(1)O(6)"", ""435.977""]",13
Ge+4(8)_OH-1(35),,"{""bbox_points"": [65.52, 216.96000000000004, 532.68, 251.88000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",-3,,2,Ge(8)H(35)O(35),1176.30,source column Mol. mass (unit not stated on table),"[""-3"", ""---"", ""2"", ""Ge(8)H(35)O(35)"", ""1176.30""]",13
Ge(g),Germanium gas,"{""bbox_points"": [65.52, 270.36, 532.68, 315.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",0,,1,Ge(1),72.6300,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""Ge(1)"", ""72.6300""]",13
Ge(s),"Germanium; Germanium, cubic; Germanium (diamond structure)","{""bbox_points"": [65.52, 333.84000000000003, 532.68, 378.96], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",0,7440-56-4,29,Ge(1),72.6300,source column Mol. mass (unit not stated on table),"[""0"", ""7440-56-4"", ""29"", ""Ge(1)"", ""72.6300""]",13
GeCl(g),Germanium chloride gas,"{""bbox_points"": [65.52, 397.32000000000005, 532.68, 442.44000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",0,,1,Cl(1)Ge(1),108.083,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""Cl(1)Ge(1)"", ""108.083""]",13
GeH4(g),Germanium hydride gas; Germanium Hydride,"{""bbox_points"": [65.52, 460.91999999999996, 532.68, 505.91999999999996], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",0,7782-65-2,1,Ge(1)H(4),76.6618,source column Mol. mass (unit not stated on table),"[""0"", ""7782-65-2"", ""1"", ""Ge(1)H(4)"", ""76.6618""]",13
GeO+2_DMannitol_OH-1(3),,"{""bbox_points"": [65.52, 524.4, 532.68, 559.2], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",-1,,1,C(6)H(17)Ge(1)O(10),321.825,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(6)H(17)Ge(1)O(10)"", ""321.825""]",13
GeO+2_DMannitol(2)_OH-1(3),,"{""bbox_points"": [65.52, 577.6800000000001, 532.68, 612.6], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(31)Ge(1)O(16),503.999,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(31)Ge(1)O(16)"", ""503.999""]",13
GeO+2_H+1_Malic-2(2),,"{""bbox_points"": [65.52, 630.96, 532.68, 665.88], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",-1,,1,C(8)H(9)Ge(1)O(11),353.783,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(8)H(9)Ge(1)O(11)"", ""353.783""]",13
GeO+2_H+1(-1)_Glucosaminic-1_OH-1,,"{""bbox_points"": [65.52, 684.36, 532.68, 719.28], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 13, ""source_file"": ""GES.PDF""}",-1,,1,C(6)H(12)Ge(1)N(1)O(8),298.793,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(6)H(12)Ge(1)N(1)O(8)"", ""298.793""]",14
GeO+2_H+1(-1)_Lactic-1(2),,"{""bbox_points"": [65.52, 75.48000000000002, 532.68, 110.40000000000005], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(6)H(9)Ge(1)O(7),265.763,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(6)H(9)Ge(1)O(7)"", ""265.763""]",14
GeO+2_H+1(-1)_Tartaric-2,,"{""bbox_points"": [65.52, 128.88, 532.68, 163.68000000000006], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(4)H(3)Ge(1)O(7),235.694,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(4)H(3)Ge(1)O(7)"", ""235.694""]",14
GeO+2_H+1(-2)_Glucosaminic-1_OH-1,,"{""bbox_points"": [65.52, 182.16000000000003, 532.68, 216.96000000000004], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-2,,1,C(6)H(11)Ge(1)N(1)O(8),297.785,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(6)H(11)Ge(1)N(1)O(8)"", ""297.785""]",14
GeO+2_H+1(-3)_DFructose(2),,"{""bbox_points"": [65.52, 235.44000000000005, 532.68, 270.36], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(13),445.921,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(13)"", ""445.921""]",14
GeO+2_H+1(-3)_DGalactose(2),,"{""bbox_points"": [65.52, 288.72, 532.68, 323.64], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(13),445.921,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(13)"", ""445.921""]",14
GeO+2_H+1(-3)_DGlucose(2),,"{""bbox_points"": [65.52, 342.12, 532.68, 376.92], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(13),445.921,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(13)"", ""445.921""]",14
GeO+2_H+1(-3)_DMannose(2),,"{""bbox_points"": [65.52, 395.4, 532.68, 430.32], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(13),445.921,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(13)"", ""445.921""]",14
GeO+2_H+1(-3)_LRhamnose(2),,"{""bbox_points"": [65.52, 448.68, 532.68, 483.6], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(11),413.922,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(11)"", ""413.922""]",14
GeO+2_H+1(-3)_LSorbose(2),,"{""bbox_points"": [65.52, 502.08000000000004, 532.68, 536.88], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,1,C(12)H(21)Ge(1)O(13),445.921,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""1"", ""C(12)H(21)Ge(1)O(13)"", ""445.921""]",14
GeO+2_OH-1(3),,"{""bbox_points"": [65.52, 555.36, 532.68, 590.2800000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-1,,11,Ge(1)H(3)O(4),139.651,source column Mol. mass (unit not stated on table),"[""-1"", ""---"", ""11"", ""Ge(1)H(3)O(4)"", ""139.651""]",14
GeO+2(2)_DMannitol(2)_OH-1(6),,"{""bbox_points"": [65.52, 608.64, 532.68, 643.5600000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",-2,,1,C(12)H(34)Ge(2)O(20),643.650,source column Mol. mass (unit not stated on table),"[""-2"", ""---"", ""1"", ""C(12)H(34)Ge(2)O(20)"", ""643.650""]",14
"GeO(black,s)","Germanium(II) oxide, black-brown; Germanium(II) oxide brown","{""bbox_points"": [65.52, 662.0400000000001, 532.68, 707.0400000000001], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 14, ""source_file"": ""GES.PDF""}",0,20619-16-3,4,Ge(1)O(1),88.6294,source column Mol. mass (unit not stated on table),"[""0"", ""20619-16-3"", ""4"", ""Ge(1)O(1)"", ""88.6294""]",15
"GeO(yellow,s)","Germanium(II) oxide, yellow; Germanium(II) oxide yellow","{""bbox_points"": [65.52, 75.48000000000002, 532.68, 120.60000000000002], ""doi"": ""10.5281/zenodo.7700024"", ""page"": 15, ""source_file"": ""GES.PDF""}",0,,1,Ge(1)O(1),88.6294,source column Mol. mass (unit not stated on table),"[""0"", ""---"", ""1"", ""Ge(1)O(1)"", ""88.6294""]",15
